"","V1"
"07606-2020-CR.txt",15
"07607-2020-CR.txt",7
"07608-2020-CR.txt",16
"07609-2020-CR.txt",4
"07610-2020-CR.txt",19
"07611-2020-CR.txt",13
"07612-2020-CR.txt",13
"07613-2020-CR.txt",2
"07614-2020-CR.txt",11
"07615-2020-CR.txt",13
"07616-2020-CR.txt",20
"07617-2020-CR.txt",11
"07618-2020-CR.txt",12
"07619-2020-CR.txt",12
"07620-2020-CR.txt",7
"07621-2020-CR.txt",16
"07622-2020-CR.txt",10
"07623-2020-CR.txt",16
"07624-2020-CR.txt",17
"07625-2020-CR.txt",6
"07626-2020-CR.txt",11
"07627-2020-CR.txt",10
"07628-2020-CR.txt",4
"07629-2020-CR.txt",6
"07630-2020-CR.txt",18
"07631-2020-CR.txt",19
"07632-2020-CR.txt",20
"07633-2020-CR.txt",13
"07634-2020-CR.txt",17
"07635-2020-CR.txt",17
"07636-2020-CR.txt",19
"07637-2020-CR.txt",4
"07638-2020-CR.txt",4
"07639-2020-CR.txt",4
"07640-2020-PE.txt",1
"07641-2020-PE.txt",11
"07642-2020-CR.txt",13
"07643-2020-CR.txt",13
"07644-2020-CR.txt",3
"07645-2020-CR.txt",8
"07646-2020-CR.txt",1
"07647-2020-CR.txt",8
"07648-2020-CR.txt",16
"07649-2020-CR.txt",5
"07650-2020-CR.txt",14
"07651-2020-CR.txt",15
"07652-2020-CR.txt",8
"07653-2020-CR.txt",16
"07654-2020-CR.txt",13
"07655-2020-CR.txt",2
"07656-2020-CR.txt",2
"07657-2020-CR.txt",17
"07658-2020-CR.txt",16
"07659-2020-CR.txt",18
"07660-2020-CR.txt",15
"07661-2020-CR.txt",2
"07662-2020-CR.txt",5
"07663-2020-CR.txt",16
"07664-2020-PE.txt",6
"07665-2020-CR.txt",1
"07666-2020-CR.txt",6
"07667-2020-CR.txt",19
"07668-2020-CR.txt",8
"07669-2020-CR.txt",18
"07670-2020-CR.txt",8
"07671-2020-CR.txt",10
"07672-2020-CR.txt",10
"07673-2020-CR.txt",18
"07674-2020-CR.txt",16
"07675-2020-CR.txt",8
"07676-2020-CR.txt",7
"07677-2020-CR.txt",8
"07678-2020-CR.txt",1
"07679-2020-CR.txt",8
"07680-2020-CGR.txt",1
"07681-2020-CR.txt",10
"07682-2020-CR.txt",5
"07683-2020-CR.txt",13
"07684-2020-CR.txt",20
"07685-2020-CR.txt",20
"07686-2020-CR.txt",20
"07687-2020-CR.txt",8
"07688-2020-CR.txt",8
"07689-2020-CR.txt",12
"07690-2020-CR.txt",3
"07691-2020-CR.txt",5
"07692-2020-CR.txt",20
"07693-2020-CR.txt",17
"07694-2020-JNE.txt",16
"07695-2020-PE.txt",8
"07696-2020-CR.txt",8
"07697-2020-CR.txt",8
"07698-2020-PE.txt",5
"07699-2020-CR.txt",3
"07700-2020-CR.txt",18
"07701-2020-CR.txt",5
"07702-2020-CR.txt",8
"07703-2020-CR.txt",5
"07704-2020-CR.txt",8
"07705-2020-CR.txt",13
"07706-2020-CR.txt",8
"07707-2020-CR.txt",8
"07708-2020-CR.txt",14
"07709-2020-CR.txt",19
"07710-2020-CR.txt",4
"07711-2020-CR.txt",11
"07712-2020-CR.txt",8
"07713-2020-CR.txt",16
"07714-2020-CR.txt",4
"07715-2020-CR.txt",1
"07716-2020-CR.txt",13
"07717-2020-CR.txt",1
"07718-2020-CR.txt",15
"07719-2020-CR.txt",19
"07720-2020-CR.txt",8
"07721-2020-CR.txt",13
"07722-2020-CR.txt",14
"07723-2020-CR.txt",8
"07724-2020-CR.txt",6
"07725-2020-CR.txt",4
"07726-2020-CR.txt",1
"07727-2020-CR.txt",7
"07728-2020-CR.txt",8
"07729-2020-CR.txt",15
"07730-2020-CR.txt",17
"07731-2020-CR.txt",8
"07732-2020-CR.txt",10
"07733-2020-CR.txt",19
"07734-2020-CR.txt",5
"07735-2020-CR.txt",1
"07736-2020-CR.txt",6
"07737-2020-CR.txt",17
"07738-2020-CR.txt",8
"07739-2020-CR.txt",18
"07740-2020-CR.txt",8
"07741-2020-CR.txt",18
"07742-2020-CR.txt",1
"07743-2020-CR.txt",14
"07744-2020-CR.txt",16
"07745-2020-CR.txt",13
"07746-2020-CR.txt",1
"07747-2020-PE.txt",4
"07748-2020-CR.txt",14
"07749-2020-CR.txt",18
"07750-2020-CR.txt",5
