;Topic 1;Topic 2;Topic 3;Topic 4;Topic 5;Topic 6;Topic 7;Topic 8;Topic 9;Topic 10;Topic 11;Topic 12;Topic 13;Topic 14;Topic 15;Topic 16;Topic 17;Topic 18;Topic 19;Topic 20
1;decreto;protección;educación;establecer;perú;desarrollo;servicios;provincia;puno;nacional;transporte;provincias;necesidad;nacional;promueve;modificar;república;marco;sistema;salud
2;gobiernos;crear;universidades;campesinas;independencia;promoción;mejoramiento;departamento;patrimonio;san;público;vía;pública;implementación;general;modifica;congreso;acceso;establece;emergencia
3;regionales;conservación;violencia;comunidades;perúpropone;integral;equipamiento;distrito;cultural;pública;trabajadores;mejoramiento;interés;nivel;madre;orgánica;constitución;vivienda;pensiones;ministerio
4;disposición;departamentos;calidad;reconocimiento;servicio;crea;infraestructura;creación;ciudad;preferente;fuerzas;público;nacional;alto;región;código;reglamento;municipales;régimen;personal
5;complementaria;especial;privadas;territorial;país;promover;hospital;interés;región;proyecto;beneficios;santa;declara;universidad;saneamiento;regula;resolución;favor;privado;carrera
6;sector;personas;mejorar;rondas;año;empresas;declarar;pública;nación;carretera;armadas;pasco;declarar;parque;ayacucho;elecciones;política;formalización;administración;medidas
7;locales;urbano;derechos;artículo[1];policía;sostenible;ampliación;necesidad;punopropone;lima;delito;centro;construcción;tecnológico;proceso;civil;legislativa;zonas;fondos;sanitaria
8;final;puesta;regular;participación;lucha;productos;agua;declarar;inmaterial;distritos;gestión;nacional;región;fondo;artículo[7];penal;control;municipalidades;jubilación;incorporación
9;incorpora;delitos;garantizar;canon;situación;cartas;necesidad;declara;nacional;ejecución;vida;asfaltado;cusco;científico;dios;artículo[20];gobierno;actividad;afiliados;autoriza
10;aprueba;recuperación;universitaria;prevención;población;productores;inversión;capital;finalidad;tramo;cumplimiento;poblado;ayacuchopropone;amazonas;más;jurado;pensión;alcances;anticipada;apoyo
